agency,complaint_type,descriptor,category,subcategory,raw_llm_response,request_count
DSNY,Incorrect Data,Collection Days,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",41
DEP,Industrial Waste,Oil Spill Into Basin/Sewer - Large (IABL),Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",41
DOT,Sidewalk Condition,Sidewalk Grating - Missing,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",41
DOT,Ferry Complaint,Delays,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",41
DEP,Water Conservation,Illegal Use Of Hose - Private Residence (CCR),Environmental Health & Sanitation,Water Quality & Leaks,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Water Quality & Leaks""}",41
DOT,Street Sign - Dangling,School Crossing,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",41
DOT,Street Sign - Missing,Construction,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",40
DOT,Street Sign - Damaged,Yield,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",39
DOT,Street Sign - Missing,One Way,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",39
DOT,Traffic Signal Condition,Warning Signal,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",39
DEP,Noise,Noise: Other Noise Sources (Use Comments) (NZZ),Public Safety & Order,Noise & Disturbances,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Noise & Disturbances""}",39
DOHMH,Unsanitary Animal Facility,Animal Odor,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",39
DCWP,Consumer Complaint,Moving Company,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",38
DOHMH,Building Drinking Water Tank,Unsanitary Condition,Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",38
DOHMH,Food Establishment,Ventilation,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",38
DOHMH,Standing Water,Puddle on Driveway,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",38
DOT,Bridge Condition,Graffiti - Bridge,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",37
DCWP,Consumer Complaint,Dealer in Products for the Disabled,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",37
DOB,Borough Office,Restroom Non-Complaince With Local Law 79/16,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",36
DEP,Water System,High Water Pressure (WHP),Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",36
DOT,Broken Parking Meter,Missing/Stump,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",35
DOT,Highway Sign - Missing,Other/Unknown,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",35
DOT,Traffic Signal Condition,Speed Board Sign,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",35
DEP,Water Quality,"Oil, Grease In Water (QD1)",Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",35
DSNY,Residential Disposal Complaint,Recycling Posters Not Posted,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",35
DOB,Special Projects Inspection Team (SPIT),Illegal Conversion Of Manufacturing/Industrial Space,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",35
DOB,Dept of Investigations,Integrity Complaint Referral,Government & Community Services,Government Requests & Inquiries,"{""category"": ""Government & Community Services"", ""subcategory"": ""Government Requests & Inquiries""}",34
TLC,Found Property,Bag/Wallet,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",34
DSNY,Dumpster Complaint,Uncovered,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",34
DHS,Homeless Person Assistance,Non-Chronic,Public Safety & Order,Homeless Assistance,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Homeless Assistance""}",34
DOHMH,Unsanitary Animal Facility,Animal Waste,Environmental Health & Sanitation,Animals & Pests,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Animals & Pests""}",34
DCWP,Consumer Complaint,Tour Bus,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",33
DOT,Municipal Parking Facility,General Maintenance,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",33
DOT,Street Sign - Damaged,School Crossing,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",33
DCWP,Consumer Complaint,Process Server,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",33
DOB,General Construction/Plumbing,Material Storage - Unsafe,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",32
DOT,Bus Stop Shelter Complaint,Snow Removal Requested,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",32
DCWP,Consumer Complaint,Locksmith,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",32
DSNY,Institution Disposal Complaint,Storage Area Not Provided,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",32
DOT,Bench,Damaged/Bent/Loose/Leaning,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",32
NYPD,Non-Emergency Police Matter,Street Con Game,Public Safety & Order,Non-Emergency Police Matters,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Non-Emergency Police Matters""}",32
DSNY,Commercial Disposal Complaint,Trash Not Separated from Recycling,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",31
DOT,Bus Stop Shelter Complaint,Damaged Bench,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",31
DCWP,Consumer Complaint,Immigration Services Provider,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",31
DEP,Industrial Waste,Waterway-Color (IHD),Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",31
HPD,APPLIANCE,MICROWAVE,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",31
DOHMH,Beach/Pool/Sauna Complaint,Safety Equipment/Signs,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",31
DCWP,Consumer Complaint,Wholesale Food Market,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",30
DOHMH,Standing Water,Swimming Pool Cover,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",30
DOHMH,Food Establishment,Sewage,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",29
DOT,Street Sign - Missing,St Name - Over Intersection,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",29
NYPD,Posting Advertisement,Vehicle,Public Safety & Order,Parking,"{""category"": ""Public Safety & Order"", ""subcategory"": ""Parking""}",29
DOT,Bus Stop Shelter Placement,Relocation of Bus Stop Shelter,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",29
DCWP,Consumer Complaint,Games of Chance,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",29
TLC,Taxi Report,Vehicle Report,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",28
DOT,Broken Parking Meter,Bent/Loose,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",28
DOT,Traffic Signal Condition,Door Lock,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",28
DOHMH,Food Establishment,Plumbing,Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",28
DSNY,Obstruction,Donation Collection Bin,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",28
DCWP,Consumer Complaint,Pet Store,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",27
DOE,School Maintenance,Graffiti,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",27
DOHMH,Food Establishment,Toxic Chemical/Material,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",27
DEP,Water Quality,"Clear Water With Organisms (Insects, Worms) (QE2)",Hazardous Conditions,Water Quality & Leaks,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Water Quality & Leaks""}",27
DOT,Traffic Signal Condition,Veh Signal Lens,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",26
DOT,Street Sign - Missing,School Crossing,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",26
DSNY,Recycling Basket Complaint,Misuse,Environmental Health & Sanitation,Waste Management & Sanitation,"{""category"": ""Environmental Health & Sanitation"", ""subcategory"": ""Waste Management & Sanitation""}",26
OTI,LinkNYC,WiFi/Internet Not Working/Slow,Government & Community Services,Government Requests & Inquiries,"{""category"": ""Government & Community Services"", ""subcategory"": ""Government Requests & Inquiries""}",26
DEP,Water Conservation,Water Meter Stolen/Missing - Private Residence (CLR),Housing & Infrastructure,Building & Utilities,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Building & Utilities""}",26
DOHMH,Indoor Air Quality,Dry Cleaning Vapors (PERC),Hazardous Conditions,Hazardous Materials & Safety,"{""category"": ""Hazardous Conditions"", ""subcategory"": ""Hazardous Materials & Safety""}",26
DCWP,Consumer Complaint,For-Profit College or University,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",26
DOT,Traffic Signal Condition,Door,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",26
DOT,Street Light Condition,Glassware Missing,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",26
DOHMH,Food Establishment,Pesticide,Consumer & Business Services,Consumer Complaints,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Consumer Complaints""}",25
TLC,Green Taxi Report,Driver Report - Passenger,Consumer & Business Services,Transportation Services,"{""category"": ""Consumer & Business Services"", ""subcategory"": ""Transportation Services""}",25
DPR,Violation of Park Rules,Use of Newly Seeded Lawn,Government & Community Services,Parks & Community,"{""category"": ""Government & Community Services"", ""subcategory"": ""Parks & Community""}",25
DOT,Street Sign - Missing,Speed Limit,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",25
DOT,Street Light Condition,Flood Light Lamp Cycling,Housing & Infrastructure,Street & Sidewalk Conditions,"{""category"": ""Housing & Infrastructure"", ""subcategory"": ""Street & Sidewalk Conditions""}",24
